# del_effect	ada_effect	del_frac	ada_frac	trashed	good	Asyn	Anonsyn	counts_syn	counts_nonsyn	subs_syn	subs_nonsyn	poly_25to75_syn	poly_25to75_nonsyn	folder
0.00515288373204	0.00361942890138	0.773333333333	0.00279232111693	0.0	100.0	-0.0643048695785	0.416344114528	7.92	2.84	3.48509044161e-06	2.31155325347e-06	0.00786186186186	0.000968515742129	short_longer_1e4_coi_1e-2_del_eff_0.00515288373204_ada_effect_0.00349645858382_del_frac_0.770265977952_ada_dens_0.00283818642114
0.000863325836052	0.0212273731548	0.875945945946	0.00223367697595	0.0	100.0	-0.055798069912	0.33879972166	17.99	6.53	5.84531019314e-06	2.89570933597e-06	0.00854354354354	0.000355322338831	short_longer_1e4_coi_1e-2_del_eff_0.000863325836052_ada_effect_0.0212430481678_del_frac_0.873550805833_ada_dens_0.00225675911223
0.000365946708187	0.0134221392014	0.973633633634	0.00201005025126	0.0	100.0	-0.0224569426391	0.384127860235	21.61	5.3	8.08500808501e-06	2.45947260483e-06	0.0153873873874	0.000409295352324	short_longer_1e4_coi_1e-2_del_eff_0.000365946708187_ada_effect_0.013229744721_del_frac_0.974240343022_ada_dens_0.00201938689631
0.000189508834954	0.00947127537216	0.812702702703	0.00119658119658	0.0	100.0	-0.017366070409	0.389136252857	24.34	3.15	9.47603121516e-06	1.44910822181e-06	0.0234654654655	0.000343328335832	short_longer_1e4_coi_1e-2_del_eff_0.000189508834954_ada_effect_0.0091975432798_del_frac_0.812222773842_ada_dens_0.00119729254816
0.000185029962539	0.00919890951432	0.930960960961	0.00717863105175	0.0	100.0	0.0218485605664	0.369790007225	34.68	11.66	1.42717968805e-05	6.94218108337e-06	0.0135585585586	0.00149475262369	short_longer_1e4_coi_1e-2_del_eff_0.000185029962539_ada_effect_0.0091096135218_del_frac_0.931457459832_ada_dens_0.0076733767915
0.00980326761102	0.0303110182113	0.764624624625	0.00287162162162	0.0	100.0	-0.00768739342345	0.299883025798	8.34	8.91	3.52526439483e-06	3.81331073594e-06	0.00262762762763	0.000431784107946	short_longer_1e4_coi_1e-2_del_eff_0.00980326761102_ada_effect_0.0301279180365_del_frac_0.764711263081_ada_dens_0.00290286483846
0.00461384033986	0.0284397232915	0.771561561562	0.00478632478632	0.0	100.0	-0.0812774004005	0.26734433226	12.69	12.27	3.99730834513e-06	5.984465961e-06	0.00301201201201	0.000613193403298	short_longer_1e4_coi_1e-2_del_eff_0.00461384033986_ada_effect_0.0285627533565_del_frac_0.771283340661_ada_dens_0.00480309210402
0.000138634978436	0.0060388114676	0.956306306306	0.00147874306839	0.0	100.0	-0.0838690539104	0.419	24.41	2.39	9.54633563329e-06	1.67224080268e-06	0.0261501501502	0.000485757121439	short_longer_1e4_coi_1e-2_del_eff_0.000138634978436_ada_effect_0.00602242385784_del_frac_0.957080073953_ada_dens_0.00148956920505
0.000297096704541	0.00418790029277	0.963153153153	0.00233722871452	0.0	100.0	-0.080276519929	0.404593465046	22.42	3.34	6.99026785983e-06	2.17616944036e-06	0.0184384384384	0.000802098950525	short_longer_1e4_coi_1e-2_del_eff_0.000297096704541_ada_effect_0.00423601981795_del_frac_0.962950469812_ada_dens_0.00237288692776
0.00232398378618	0.0054606164359	0.901531531532	0.00143626570916	0.0	100.0	-0.0962284025865	0.41625	4.96	2.61	1.45128405998e-06	1.47919351361e-06	0.0039039039039	0.000470764617691	short_longer_1e4_coi_1e-2_del_eff_0.00232398378618_ada_effect_0.00570591021513_del_frac_0.89650079502_ada_dens_0.00144601704263
