# bins	number of alleles0.001	10260
0.00125892541179	10671
0.00158489319246	10080
0.00199526231497	8996
0.00251188643151	7708
0.00316227766017	6581
0.00398107170553	5376
0.00501187233627	4193
0.0063095734448	3277
0.00794328234724	2446
0.01	1930
0.0125892541179	1511
0.0158489319246	1265
0.0199526231497	1029
0.0251188643151	839
0.0316227766017	716
0.0398107170553	667
0.0501187233627	494
0.063095734448	424
0.0794328234724	377
0.1	308
0.125892541179	267
0.158489319246	286
0.199526231497	266
0.251188643151	208
0.316227766017	183
0.398107170553	258
0.501187233627	205
0.63095734448	475
0.794328234724
