# nu0_start	nu0_end	Psyn	Pnonsyn	counts_syn	counts_nonsyn
0.1	0.2	0.011636927851	1.0	2.5859839669e-06	0.001
0.2	0.4	0.0347970173985	1.0	8.2850041425e-06	0.00111111111111
0.4	0.6	0.12389380531	1.0	4.42477876106e-05	0.00125
0.6	0.9	0.209302325581	1.0	0.000232558139535	0.00142857142857
