# del_effect	ada_effect	del_frac	ada_frac	trashed	good	Asyn	Anonsyn	counts_syn	counts_nonsyn	subs_syn	subs_nonsyn	poly_25to75_syn	poly_25to75_nonsyn	folder
0.00118546358234	0.0146238638058	0.985345345345	0.00141592920354	0.0	50.0	-0.333281763995	0.0989850635212	14.18	13.26	8.23566040957e-07	2.27645374637e-06	0.00457057057057	0.00367916041979	short_longer_1e4_coi_1e-2_del_eff_0.00118546358234_ada_effect_0.0157745149054_del_frac_0.985631874947_ada_dens_0.00141117443058_nescepi_6
0.01	0.0155060815786	0.985930930931	0.00139616055846	0.0	200.0	-0.0909959349595	0.121021065378	0.65	13.37	2.03380638163e-07	2.30528548435e-06	0.000495495495495	0.00403373313343	short_longer_1e4_coi_1e-2_del_eff_0.01_ada_effect_0.0158_del_frac_0.986_ada_dens_0.0014_nescepi_6
0.0001	0.015542276342	0.986711711712	0.00139616055846	0.0	200.0	-0.0532342468566	0.0980097014221	36.98	14.085	1.06435867305e-05	2.25012911604e-06	0.0349414414414	0.00472338830585	short_longer_1e4_coi_1e-2_del_eff_0.0001_ada_effect_0.0158_del_frac_0.986_ada_dens_0.0014_nescepi_6
0.00316227766017	0.0152096192965	0.986681681682	0.00139616055846	0.0	200.0	-0.403079263329	0.135556392424	2.9	13.75	2.15934998544e-07	2.2827215155e-06	0.000774774774775	0.00355622188906	short_longer_1e4_coi_1e-2_del_eff_0.00316227766017_ada_effect_0.0158_del_frac_0.986_ada_dens_0.0014_nescepi_6
0.001	0.0154137581625	0.985990990991	0.00139616055846	0.0	200.0	-0.260540950579	0.108519854055	15.475	13.575	1.13240330632e-06	2.3328636685e-06	0.00651501501502	0.00374662668666	short_longer_1e4_coi_1e-2_del_eff_0.001_ada_effect_0.0158_del_frac_0.986_ada_dens_0.0014_nescepi_6
0.000316227766017	0.0158183269152	0.986246246246	0.00139616055846	0.0	200.0	-0.108076381157	0.132896146574	28.58	13.59	5.5339620557e-06	2.27520019255e-06	0.021478978979	0.00450224887556	short_longer_1e4_coi_1e-2_del_eff_0.000316227766017_ada_effect_0.0158_del_frac_0.986_ada_dens_0.0014_nescepi_6
